zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus,gym_count,gyms_per_10000_adults
49111,38.9,28.4,3506,2726,0.0,0.0
49112,37.0,26.8,10506,8057,0.0,0.0
49113,39.7,29.5,1864,1464,0.0,0.0
49115,33.8,24.0,217,200,0.0,0.0
49116,33.5,23.3,278,262,0.0,0.0
49117,35.7,23.4,3710,3141,0.0,0.0
49119,40.8,30.3,257,210,0.0,0.0
49120,38.5,27.9,37076,28891,0.0,0.0
49125,35.9,23.9,1743,1529,0.0,0.0
49126,37.8,27.8,1202,977,0.0,0.0
49127,34.1,21.3,10811,8471,0.0,0.0
49128,36.2,24.6,3448,2893,0.0,0.0
49129,37.6,25.9,736,622,0.0,0.0
49130,35.9,26.1,1627,1369,0.0,0.0
49201,40.5,28.3,47747,38473,0.0,0.0
49202,42.3,33.0,19359,14952,0.0,0.0
49203,40.6,29.3,37269,28343,0.0,0.0
49220,40.5,25.7,2390,1826,0.0,0.0
49221,41.9,28.6,41315,32715,0.0,0.0
49224,43.5,30.5,13199,10076,0.0,0.0
49227,39.7,31.2,1241,986,0.0,0.0
49228,39.1,24.1,5432,4234,0.0,0.0
49229,39.9,23.9,3261,2568,0.0,0.0
49230,38.0,25.6,10364,8592,0.0,0.0
49232,41.3,34.4,2857,2071,0.0,0.0
49233,36.6,22.8,2776,2280,0.0,0.0
49234,36.3,24.3,2580,2175,0.0,0.0
49235,41.2,27.1,1899,1507,0.0,0.0
49236,37.6,21.6,4831,3772,0.0,0.0
49237,38.4,26.3,3027,2327,0.0,0.0
49238,39.1,22.4,1674,1296,0.0,0.0
49240,36.0,22.1,9213,7322,0.0,0.0
49241,36.9,24.6,2359,1810,0.0,0.0
49242,36.6,27.4,14812,11668,0.0,0.0
49245,42.6,29.7,4672,3471,0.0,0.0
49246,37.8,26.3,3247,2614,0.0,0.0
49247,41.6,29.8,5720,4378,0.0,0.0
49248,41.7,26.7,858,686,0.0,0.0
49249,35.1,23.2,3269,2623,0.0,0.0
49250,38.2,28.5,5994,4626,0.0,0.0
49251,36.2,22.7,6136,4773,0.0,0.0
49252,38.0,29.2,2666,2072,0.0,0.0
49253,39.7,24.9,3095,2558,0.0,0.0
49254,37.7,24.9,3163,2546,0.0,0.0
49255,38.6,31.4,2098,1340,0.0,0.0
49256,42.2,28.6,3909,2926,0.0,0.0
49259,37.6,24.6,2594,2038,0.0,0.0
49261,39.1,25.4,356,266,0.0,0.0
49262,36.3,27.1,1211,952,0.0,0.0
49263,37.1,26.4,72,59,0.0,0.0
49264,36.9,23.9,1909,1479,0.0,0.0
49265,39.6,23.9,5055,4076,0.0,0.0
49266,37.5,27.9,2954,2303,0.0,0.0
49267,38.3,21.4,3920,3111,0.0,0.0
49268,39.8,23.9,1047,813,0.0,0.0
49269,37.6,25.2,5874,4540,0.0,0.0
49270,40.0,22.9,5822,4614,0.0,0.0
49271,37.7,28.6,2230,1706,0.0,0.0
49272,38.1,25.0,2413,1929,0.0,0.0
49274,39.4,31.0,3699,2749,0.0,0.0
49276,38.9,22.2,971,757,0.0,0.0
49277,39.3,28.2,3170,2468,0.0,0.0
49279,41.6,26.6,832,652,0.0,0.0
49282,34.1,20.9,210,168,0.0,0.0
49283,30.8,20.4,4401,3714,0.0,0.0
49284,40.0,27.4,2985,2263,0.0,0.0
49285,35.4,21.9,5866,4599,0.0,0.0
49286,39.2,24.2,14991,11802,0.0,0.0
49287,39.8,23.3,1949,1604,0.0,0.0
49288,39.0,29.4,1305,1001,0.0,0.0
49289,41.2,27.6,104,89,0.0,0.0
49301,30.1,14.4,20665,14836,0.0,0.0
49302,32.2,16.7,8845,6565,0.0,0.0
49303,43.0,26.1,1085,793,0.0,0.0
49304,42.6,36.4,4979,4363,0.0,0.0
49305,38.5,29.3,2267,1780,0.0,0.0
49306,32.5,18.3,10419,7886,0.0,0.0
49307,35.7,25.5,16914,13703,0.0,0.0
49309,39.8,31.0,1839,1516,0.0,0.0
49310,40.3,27.5,3072,2261,0.0,0.0
49312,38.4,29.4,295,240,0.0,0.0
49315,31.5,18.4,26148,19196,0.0,0.0
49316,33.4,20.0,24742,18162,0.0,0.0
49318,40.3,25.3,1530,1124,0.0,0.0
49319,36.1,22.8,17391,12931,0.0,0.0
49320,34.8,24.5,270,222,0.0,0.0
49321,35.6,22.9,16764,13015,0.0,0.0
49322,41.0,24.9,1164,870,0.0,0.0
49323,34.6,21.8,10235,7518,0.0,0.0
49325,36.7,22.6,2090,1509,0.0,0.0
49326,38.2,25.7,3830,3004,0.0,0.0
49327,36.9,25.7,8322,6183,0.0,0.0
49328,36.8,26.2,4006,3022,0.0,0.0
49329,40.5,25.2,8707,6486,0.0,0.0
49330,37.4,25.5,5664,4142,0.0,0.0
49331,34.6,19.9,18023,13553,0.0,0.0
49332,37.5,28.6,2757,2308,0.0,0.0
49333,36.4,21.8,13427,9766,0.0,0.0
49335,34.7,21.9,188,126,0.0,0.0
49336,39.6,30.1,4382,3273,0.0,0.0
49337,37.6,27.5,12854,10087,0.0,0.0
49338,38.4,26.9,1810,1451,0.0,0.0
49339,40.6,24.5,2376,1862,0.0,0.0
49340,38.8,28.0,2846,2234,0.0,0.0
49341,32.4,17.4,38250,28064,0.0,0.0
49342,36.1,25.5,1527,1197,0.0,0.0
49343,37.0,24.5,5669,4507,0.0,0.0
49344,37.8,26.4,3847,3024,0.0,0.0
49345,34.4,21.2,13734,10450,0.0,0.0
49346,36.9,28.3,5877,4753,0.0,0.0
49347,41.2,26.1,1317,1090,0.0,0.0
49348,35.4,23.4,14989,11033,0.0,0.0
49349,40.1,30.9,8361,6650,0.0,0.0
49401,32.8,22.3,29598,24727,0.0,0.0
49402,41.5,29.8,1425,1193,0.0,0.0
49403,35.7,22.9,2491,1910,0.0,0.0
49404,35.2,22.4,8913,6451,0.0,0.0
49405,41.5,26.0,1587,1256,0.0,0.0
49406,32.7,20.6,1031,918,0.0,0.0
49408,37.3,27.9,9830,7662,0.0,0.0
49409,32.0,17.4,180,125,0.0,0.0
49410,41.6,26.9,1956,1531,0.0,0.0
