year,zcta5,measure,data_value,data_value_type,totalpopulation,totalpop18plus
2023,01740,Obesity,27.7,Crude prevalence,5665,4146
2023,01741,Physical Inactivity,13.7,Crude prevalence,5237,4013
2023,01741,Obesity,21.7,Crude prevalence,5237,4013
2023,01742,Physical Inactivity,15.4,Crude prevalence,18545,14416
2023,01742,Obesity,22.6,Crude prevalence,18545,14416
2023,01745,Physical Inactivity,15.4,Crude prevalence,433,352
2023,01745,Obesity,25.9,Crude prevalence,433,352
2023,01746,Physical Inactivity,16.2,Crude prevalence,14996,11249
2023,01746,Obesity,24.0,Crude prevalence,14996,11249
2023,01747,Physical Inactivity,19.6,Crude prevalence,6017,4700
2023,01747,Obesity,30.6,Crude prevalence,6017,4700
